Структура,N=200,N=500,N=1000,N=2000
2-3 дерево,0.89 мс (4.5 мкс/оп),1.84 мс (3.7 мкс/оп),3.69 мс (3.7 мкс/оп),8.73 мс (4.4 мкс/оп)
AVL,0.36 мс (1.8 мкс/оп),1.27 мс (2.5 мкс/оп),2.94 мс (2.9 мкс/оп),5.36 мс (2.7 мкс/оп)
B+ дерево,0.47 мс (2.4 мкс/оп),1.32 мс (2.6 мкс/оп),3.35 мс (3.3 мкс/оп),7.69 мс (3.8 мкс/оп)
B-дерево,0.63 мс (3.2 мкс/оп),1.84 мс (3.7 мкс/оп),3.76 мс (3.8 мкс/оп),8.70 мс (4.3 мкс/оп)
RB,0.59 мс (3.0 мкс/оп),1.79 мс (3.6 мкс/оп),3.62 мс (3.6 мкс/оп),7.40 мс (3.7 мкс/оп)
SQLite,0.60 мс (3.0 мкс/оп),1.33 мс (2.7 мкс/оп),1.83 мс (1.8 мкс/оп),3.77 мс (1.9 мкс/оп)
Splay,1.51 мс (7.5 мкс/оп),5.20 мс (10.4 мкс/оп),9.22 мс (9.2 мкс/оп),19.96 мс (10.0 мкс/оп)
