Структура,N=200,N=500,N=1000,N=2000
2-3 дерево,0.84 мс (4.2 мкс/оп),2.02 мс (4.0 мкс/оп),4.87 мс (4.9 мкс/оп),9.73 мс (4.9 мкс/оп)
AVL,0.45 мс (2.3 мкс/оп),1.54 мс (3.1 мкс/оп),3.49 мс (3.5 мкс/оп),7.22 мс (3.6 мкс/оп)
B+ дерево,0.57 мс (2.8 мкс/оп),1.47 мс (2.9 мкс/оп),3.82 мс (3.8 мкс/оп),8.21 мс (4.1 мкс/оп)
B-дерево,0.70 мс (3.5 мкс/оп),2.11 мс (4.2 мкс/оп),4.48 мс (4.5 мкс/оп),9.27 мс (4.6 мкс/оп)
RB,0.71 мс (3.6 мкс/оп),2.13 мс (4.3 мкс/оп),4.19 мс (4.2 мкс/оп),8.80 мс (4.4 мкс/оп)
SQLite,0.83 мс (4.2 мкс/оп),1.96 мс (3.9 мкс/оп),3.40 мс (3.4 мкс/оп),6.09 мс (3.0 мкс/оп)
Splay,1.93 мс (9.7 мкс/оп),4.88 мс (9.8 мкс/оп),10.17 мс (10.2 мкс/оп),22.56 мс (11.3 мкс/оп)
