Структура,N=200,N=500,N=1000,N=2000
2-3 дерево,1.05 мс (5.3 мкс/оп),3.11 мс (6.2 мкс/оп),5.86 мс (5.9 мкс/оп),14.39 мс (7.2 мкс/оп)
AVL,1.37 мс (6.8 мкс/оп),4.82 мс (9.6 мкс/оп),10.95 мс (11.0 мкс/оп),21.67 мс (10.8 мкс/оп)
B+ дерево,0.83 мс (4.1 мкс/оп),2.21 мс (4.4 мкс/оп),4.16 мс (4.2 мкс/оп),10.63 мс (5.3 мкс/оп)
B-дерево,0.97 мс (4.8 мкс/оп),2.97 мс (5.9 мкс/оп),5.72 мс (5.7 мкс/оп),13.04 мс (6.5 мкс/оп)
RB,0.75 мс (3.8 мкс/оп),2.41 мс (4.8 мкс/оп),3.80 мс (3.8 мкс/оп),8.77 мс (4.4 мкс/оп)
SQLite,0.61 мс (3.0 мкс/оп),1.62 мс (3.2 мкс/оп),3.25 мс (3.2 мкс/оп),5.74 мс (2.9 мкс/оп)
Splay,1.54 мс (7.7 мкс/оп),4.99 мс (10.0 мкс/оп),9.99 мс (10.0 мкс/оп),24.21 мс (12.1 мкс/оп)
